,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
187,1,1,42,2.0,8.0,5.0,1.0,1.0,1.0,41,8,U,1,4,1,1003855
188,1,1,29,2.0,8.0,5.0,1.0,1.0,1.0,42,7,U,1,3,1,1003881
189,1,1,46,2.0,3.0,3.0,2.0,1.0,1.0,42,7,U,1,3,1,1003882
190,1,1,54,2.0,3.0,3.0,2.0,2.0,2.0,42,7,U,1,3,1,1003883
191,1,1,50,2.0,8.0,5.0,1.0,1.0,1.0,42,7,U,1,3,1,1003884
192,1,1,69,2.0,6.0,3.0,1.0,1.0,1.0,42,7,U,1,3,1,1003885
193,1,1,44,2.0,3.0,3.0,2.0,2.0,2.0,43,6,U,1,2,1,1004002
194,1,2,72,2.0,2.0,2.0,2.0,2.0,2.0,43,6,U,1,2,1,1004003
195,1,2,66,2.0,2.0,4.0,2.0,1.0,1.0,43,6,U,1,2,1,1004004
196,1,1,69,2.0,8.0,5.0,1.0,1.0,1.0,43,6,U,1,2,1,1004005
197,1,1,23,2.0,7.0,3.0,1.0,1.0,1.0,44,8,U,1,4,1,1004151
198,1,2,67,2.0,2.0,6.0,2.0,2.0,2.0,44,8,U,1,4,1,1004152
199,1,1,52,2.0,10.0,4.0,1.0,1.0,1.0,44,8,U,1,4,1,1004153
200,1,2,53,2.0,2.0,6.0,2.0,1.0,1.0,44,8,U,1,4,1,1004154
201,1,1,28,2.0,8.0,4.0,1.0,1.0,1.0,44,8,U,1,4,1,1004155
202,1,1,43,2.0,11.0,2.0,1.0,1.0,1.0,45,8,U,1,4,1,1004172
203,1,1,37,2.0,8.0,5.0,1.0,1.0,1.0,45,8,U,1,4,1,1004173
204,1,2,56,2.0,6.0,3.0,1.0,1.0,1.0,45,8,U,1,4,1,1004174
205,1,2,72,2.0,2.0,3.0,2.0,2.0,2.0,46,7,U,1,3,1,1004211
206,1,1,49,2.0,3.0,3.0,2.0,1.0,1.0,46,7,U,1,3,1,1004212
207,1,1,70,2.0,8.0,5.0,2.0,1.0,1.0,46,7,U,1,3,1,1004213
208,1,1,65,2.0,0.0,0.0,2.0,2.0,2.0,46,7,U,1,3,1,1004214
209,1,1,48,2.0,2.0,2.0,2.0,1.0,1.0,46,7,U,1,3,1,1004215
210,1,2,76,2.0,2.0,6.0,2.0,1.0,1.0,47,7,U,1,3,1,1004421
211,1,1,75,2.0,2.0,5.0,2.0,2.0,1.0,47,7,U,1,3,1,1004422
212,1,1,62,2.0,3.0,3.0,2.0,2.0,1.0,47,7,U,1,3,1,1004423
213,1,1,32,2.0,6.0,3.0,1.0,1.0,1.0,47,7,U,1,3,1,1004423
214,1,2,60,2.0,2.0,6.0,2.0,1.0,1.0,47,7,U,1,3,1,1004424
215,1,1,62,2.0,3.0,3.0,2.0,1.0,1.0,47,7,U,1,3,1,1004425
216,1,1,63,2.0,2.0,6.0,2.0,2.0,2.0,48,7,U,1,3,1,1004431
217,1,1,30,2.0,3.0,3.0,2.0,1.0,1.0,48,7,U,1,3,1,1004432
218,1,1,38,2.0,3.0,3.0,2.0,2.0,1.0,48,7,U,1,3,1,1004433
219,1,1,69,2.0,2.0,6.0,2.0,2.0,1.0,48,7,U,1,3,1,1004434
220,1,1,74,2.0,2.0,5.0,2.0,2.0,2.0,48,7,U,1,3,1,1004435
221,1,2,79,1.0,0.0,0.0,2.0,2.0,2.0,49,6,U,1,2,1,1004471
222,1,2,34,2.0,2.0,5.0,2.0,2.0,2.0,49,6,U,1,2,1,1004472
223,1,1,58,2.0,0.0,0.0,2.0,2.0,2.0,49,6,U,1,2,1,1004473
224,1,1,77,2.0,2.0,1.0,2.0,2.0,1.0,49,6,U,1,2,1,1004474
225,1,1,40,2.0,2.0,6.0,2.0,2.0,1.0,49,6,U,1,2,1,1004474
226,1,1,39,2.0,3.0,3.0,2.0,2.0,2.0,49,6,U,1,2,1,1004474
227,1,2,38,2.0,3.0,3.0,1.0,1.0,1.0,49,6,U,1,2,1,1004475
228,1,1,71,2.0,2.0,2.0,2.0,1.0,2.0,50,6,U,1,2,1,1004591
229,1,1,46,2.0,2.0,5.0,2.0,2.0,1.0,50,6,U,1,2,1,1004592
230,1,1,62,2.0,2.0,6.0,2.0,2.0,2.0,50,6,U,1,2,1,1004593
231,1,1,42,2.0,3.0,3.0,1.0,1.0,1.0,50,6,U,1,2,1,1004594
232,1,2,79,2.0,0.0,0.0,2.0,2.0,1.0,50,6,U,1,2,1,1004595
233,1,1,51,2.0,0.0,0.0,2.0,2.0,1.0,51,6,U,1,2,1,1004601
234,1,1,49,2.0,3.0,3.0,2.0,1.0,1.0,51,6,U,1,2,1,1004602
235,1,1,40,2.0,3.0,3.0,2.0,1.0,1.0,51,6,U,1,2,1,1004603
236,1,1,61,2.0,2.0,6.0,2.0,2.0,1.0,51,6,U,1,2,1,1004604
237,1,1,82,2.0,2.0,3.0,2.0,2.0,2.0,51,6,U,1,2,1,1004605
238,1,1,72,2.0,3.0,3.0,2.0,2.0,2.0,52,7,U,1,3,1,1004651
239,1,2,65,2.0,5.0,3.0,2.0,2.0,2.0,52,7,U,1,3,1,1004652
240,1,1,69,2.0,2.0,6.0,2.0,1.0,1.0,52,7,U,1,3,1,1004653
241,1,2,52,2.0,3.0,3.0,2.0,1.0,1.0,52,7,U,1,3,1,1004654
242,1,1,59,2.0,6.0,3.0,1.0,1.0,1.0,52,7,U,1,3,1,1004655
243,1,1,67,2.0,2.0,3.0,2.0,2.0,2.0,53,6,U,1,2,1,1004662
244,1,2,38,2.0,2.0,6.0,1.0,1.0,1.0,53,6,U,1,2,1,1004663
245,1,1,78,2.0,0.0,0.0,2.0,2.0,1.0,53,6,U,1,2,1,1004664
246,1,1,45,2.0,3.0,3.0,1.0,1.0,1.0,53,6,U,1,2,1,1004665
247,1,1,41,2.0,8.0,5.0,1.0,1.0,1.0,54,7,U,1,3,1,1004681
248,1,1,35,2.0,3.0,3.0,2.0,2.0,1.0,54,7,U,1,3,1,1004682
249,1,2,67,2.0,8.0,5.0,1.0,1.0,1.0,54,7,U,1,3,1,1004683
250,1,2,75,2.0,8.0,5.0,1.0,1.0,1.0,54,7,U,1,3,1,1004684
251,1,1,62,2.0,3.0,3.0,2.0,1.0,1.0,54,7,U,1,3,1,1004685
252,1,1,65,2.0,8.0,5.0,2.0,2.0,1.0,55,7,U,1,3,1,1004691
253,1,1,43,2.0,3.0,3.0,2.0,2.0,1.0,55,7,U,1,3,1,1004693
254,1,1,30,2.0,3.0,3.0,1.0,1.0,1.0,55,7,U,1,3,1,1004694
255,1,1,82,2.0,2.0,6.0,2.0,2.0,2.0,55,7,U,1,3,1,1004695
256,1,1,60,2.0,8.0,5.0,1.0,1.0,1.0,56,7,U,1,3,1,1005091
257,1,2,58,2.0,6.0,3.0,2.0,1.0,2.0,56,7,U,1,3,1,1005092
258,1,1,52,2.0,6.0,3.0,2.0,1.0,1.0,56,7,U,1,3,1,1005094
259,1,2,43,2.0,6.0,3.0,1.0,1.0,1.0,56,7,U,1,3,1,1005095
260,1,1,30,2.0,6.0,3.0,1.0,1.0,1.0,57,7,U,1,3,1,1005221
261,1,1,29,2.0,3.0,3.0,1.0,1.0,1.0,57,7,U,1,3,1,1005222
262,1,1,29,2.0,3.0,3.0,2.0,1.0,1.0,57,7,U,1,3,1,1005223
263,1,1,36,2.0,6.0,2.0,2.0,1.0,1.0,57,7,U,1,3,1,1005224
264,1,1,59,2.0,3.0,3.0,2.0,1.0,2.0,57,7,U,1,3,1,1005225
265,1,1,63,2.0,2.0,6.0,2.0,2.0,2.0,58,7,U,1,3,1,1005261
266,1,1,29,2.0,6.0,3.0,2.0,1.0,1.0,58,7,U,1,3,1,1005262
267,1,1,55,2.0,6.0,3.0,2.0,1.0,1.0,58,7,U,1,3,1,1005263
268,1,1,57,2.0,3.0,3.0,2.0,1.0,1.0,58,7,U,1,3,1,1005264
269,1,1,25,2.0,3.0,3.0,2.0,2.0,2.0,58,7,U,1,3,1,1005265
270,1,1,56,2.0,2.0,6.0,2.0,1.0,1.0,59,7,U,1,3,1,1005381
271,1,2,70,2.0,6.0,3.0,2.0,2.0,1.0,59,7,U,1,3,1,1005382
272,1,1,69,2.0,3.0,3.0,2.0,2.0,2.0,59,7,U,1,3,1,1005383
273,1,1,26,2.0,8.0,5.0,1.0,1.0,1.0,59,7,U,1,3,1,1005384
274,1,1,55,2.0,3.0,3.0,2.0,1.0,1.0,59,7,U,1,3,1,1005385
275,1,1,62,2.0,2.0,6.0,2.0,2.0,2.0,60,7,U,1,3,1,1005391
276,1,1,67,2.0,0.0,0.0,2.0,2.0,2.0,60,7,U,1,3,1,1005392
277,1,1,49,2.0,6.0,3.0,1.0,1.0,1.0,60,7,U,1,3,1,1005393
278,1,1,55,2.0,2.0,5.0,2.0,2.0,1.0,60,7,U,1,3,1,1005394
