,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
51081,1,1,70,2.0,11.0,2.0,1.0,1.0,1.0,2244,82,U,1,4,9,9019582
51087,3,2,52,2.0,10.0,2.0,1.0,1.0,1.0,2244,82,U,1,4,9,9019583
51090,3,2,48,2.0,11.0,2.0,1.0,1.0,1.0,2244,82,U,1,4,9,9019585
51091,1,2,55,2.0,2.0,6.0,2.0,1.0,1.0,2245,81,U,1,3,9,9019811
51097,3,2,28,1.0,8.0,3.0,2.0,1.0,1.0,2245,81,U,1,3,9,9019812
51098,1,2,27,2.0,8.0,4.0,1.0,1.0,1.0,2245,81,U,1,3,9,9019813
51102,3,1,20,1.0,6.0,3.0,1.0,1.0,1.0,2245,81,U,1,3,9,9019814
51105,2,2,41,2.0,7.0,3.0,2.0,1.0,1.0,2245,81,U,1,3,9,9019815
51110,3,1,49,2.0,8.0,4.0,1.0,1.0,1.0,2246,81,U,1,3,9,9020751
51116,1,1,48,2.0,6.0,3.0,1.0,1.0,1.0,2246,81,U,1,3,9,9020752
51119,2,1,63,2.0,8.0,4.0,2.0,1.0,1.0,2246,81,U,1,3,9,9020753
51124,1,2,49,2.0,8.0,4.0,2.0,1.0,1.0,2246,81,U,1,3,9,9020754
51128,1,2,56,2.0,8.0,4.0,1.0,1.0,1.0,2246,81,U,1,3,9,9020755
