,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,ENT,code,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_4
32499,2,2,2,1,2,2,2,5,1,18,18014839,1,2,2,2,1,2,1,2,2,2
32500,2,2,2,1,1,2,1,7,1,18,180148310,1,2,1,2,2,2,1,2,2,2
32501,2,2,2,1,2,2,2,3,1,18,180148311,1,1,2,2,1,2,1,2,2,2
32502,2,2,2,1,2,2,2,4,1,18,180148312,1,2,2,2,2,2,1,2,2,2
32503,2,2,2,1,2,2,2,6,1,18,180148313,1,2,2,2,1,2,1,2,2,1
32504,3,2,2,1,1,1,2,4,1,18,180148314,1,1,2,2,1,2,1,2,2,2
32505,3,2,2,1,1,1,2,4,1,18,180148315,1,1,2,2,1,2,1,2,2,1
32506,2,2,2,1,2,2,2,2,1,18,180148317,1,1,2,2,1,2,1,2,2,2
32507,2,2,2,1,1,2,1,6,1,18,180148318,1,2,2,2,1,2,1,2,2,1
32508,2,2,2,1,1,2,2,1,1,18,180148319,1,2,2,2,2,2,1,2,2,2
32509,2,2,2,1,1,2,1,5,1,18,180148320,1,1,1,2,2,2,1,2,1,1
32510,3,1,1,1,1,1,1,2,1,18,18014871,1,1,2,2,1,2,1,2,2,1
32511,2,1,1,1,1,2,2,4,1,18,18014872,1,2,2,2,1,2,1,2,2,2
32512,3,1,1,1,1,1,1,5,1,18,18014873,1,2,2,2,1,2,1,2,1,1
32513,3,1,1,1,1,1,2,2,1,18,18014874,1,2,2,2,1,2,1,2,2,1
32514,3,1,1,1,1,2,2,1,1,18,18014876,1,2,2,2,1,2,1,2,2,2
32515,3,1,1,1,1,1,1,3,1,18,18014877,1,2,2,2,1,2,1,2,1,1
32516,3,1,1,1,1,1,1,5,1,18,18014878,1,2,2,2,1,2,1,2,1,1
32517,2,1,2,1,1,1,2,4,1,18,18014879,1,2,1,2,2,2,1,2,2,1
32518,2,1,1,1,1,1,1,4,1,18,180148710,1,1,2,2,1,2,1,2,1,1
32519,3,1,1,1,1,1,1,4,1,18,180148711,1,1,2,2,1,1,1,2,1,1
32520,3,1,1,1,1,1,1,5,1,18,180148712,1,2,2,2,1,2,1,2,1,1
32521,2,1,1,1,1,1,1,5,1,18,180148713,1,1,1,2,2,2,1,2,2,1
